State,LGA,LGA_updated,RB_MDA_Start,RB_MDA_End,2016,2016.5,2017,2017.5,2018,2018.5,2019,2019.5,2020,2020.5,2021,2021.5,2022,2022.5,2023,2023.5,biannual_years
ABIA,Aba North,Aba North,1994,2022,1,,1,,1,,1,,,,1,,1,,,,NA
ABIA,Aba South,Aba South,1994,2022,1,,1,,1,,1,,,,1,,1,,,,NA
ABIA,Arochukwu,Arochukwu,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Bende,Bende,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Ikwuano,Ikwuano,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Isiala-Ngwa North,Isiala-Ngwa North,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Isiala-Ngwa South,Isiala-Ngwa South,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Isuikwuato,Isiukwuato,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Obi Nwga,Obio-Ngwa,1994,2022,1,,1,,1,,1,,,,1,,1,,,,NA
ABIA,Ohafia,Ohafia,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Osisioma Ngwa,Osisioma Ngwa,1994,2022,1,,1,,1,,1,,,,1,,1,,,,NA
ABIA,Ugwunagbo,Ugwunagbo,1994,2022,1,,1,,1,,1,,,,1,,1,,,,NA
ABIA,Ukwa East,Ukwa East,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Ukwa West,Ukwa West,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Umuahia North,Umuahia North,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Umuahia South,Umuahia South,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ABIA,Umu-Nneochi,Umu-Nneochi,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Aguata,Aguata,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Anaocha,Anaocha,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Awka North,Awka North,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Awka South,Awka south,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Ayamelum,Ayamelum,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Dunukofia,Dunukofia,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Ekwusigo,Ekwusiko,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Idemili North,Idimili North,1995,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Idemili South,Idimili South,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Ihiala,Ihiala,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Njikoka,Njikoka,1995,2022,1,,1,2,1,2,1,,,,,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Nnewi North,Nnewi North,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Nnewi South,Nnewi South,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Orumba North,Orumba North,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Orumba South,Orumba South,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ANAMBRA,Oyi,Oyi,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
DELTA,Aniocha North,Aniocha North,1995,2022,1,,1,2,1,,1,,1,,1,,1,,,,"""2017.5"""
DELTA,Aniocha South,Aniocha South,1994,2022,1,,1,,1,,1,,1,,1,,1,,,,NA
DELTA,Ethiope East,Ethiope East,1995,2022,1,,1,,1,,1,,1,,1,,1,,,,NA
DELTA,Ethiope West,Ethiope West,1995,2019,1,,1,,1,,1,,,,,,,,,,NA
DELTA,Ika North East,Ika North East,1994,2022,1,,1,,1,,1,,1,,1,,1,,,,NA
DELTA,Ika South,Ika South,1995,2022,1,,1,,1,,1,,1,,1,,1,,,,NA
DELTA,Isoko North,Isoko North,1995,2022,1,,1,,1,,1,,1,,1,,1,,,,NA
DELTA,Ndokwa East,Ndokwa East,1995,2022,1,,1,,1,,1,,1,,1,,1,,,,NA
DELTA,Ndokwa West,Ndokwa West,1994,2019,1,,1,,1,,1,,,,,,,,,,NA
DELTA,Okpe,Okpe,1995,2019,1,,1,,1,,1,,,,,,,,,,NA
DELTA,Oshimili North,Oshimili North,1994,2022,1,,1,2,1,,1,,1,,1,,1,,,,"""2017.5"""
DELTA,Oshimili South,Oshimili South,1995,2019,1,,1,,1,,1,,,,,,,,,,NA
DELTA,Sapele,Sapele,1995,2019,1,,1,,1,,1,,,,,,,,,,NA
DELTA,Ughelli North,Ughelli North,1995,2019,1,,1,,1,,1,,,,,,,,,,NA
DELTA,Ukwuani,Ukwuani,1995,2022,1,,1,,1,,1,,1,,1,,1,,,,NA
EBONYI,Abakaliki,Abakaliki,2018,2022,,,,,1,2,1,,1,,1,,1,,,,"""2018.5"""
EBONYI,Afikpo North,Afikpo North,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EBONYI,Ebonyi,Ebonyi,1995,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EBONYI,Ezza North,Ezza North,1995,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EBONYI,Ezza South,Ezza south,1995,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EBONYI,Ikwo,Ikwo,1995,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EBONYI,Ishielu,Ishielu,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EBONYI,Ivo,Ivo,1995,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EBONYI,Izzi,Izzi,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EBONYI,Ohaozara,Ohaozara,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EBONYI,Ohaukwu,Ohaukwu,2018,2022,,,,,1,2,1,,1,,1,,1,,,,"""2018.5"""
EBONYI,Onicha,Onicha,1994,2022,1,, ,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Akoko-Edo,Akoko-Edo,1993,2022,1,2,1,2,1,2,1,,1,,1,2,1,2,,,"""2016.5"",""2017.5"",""2018.5"",""2021.5"",""2022.5"""
EDO,Esan Central,Esan Central,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Esan North East,Esan North East,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Esan South East,Esan South East,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Esan West,Esan West,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Etsako Central,Etsako Central,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Etsako East,Etsako East,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Etsako West,Etsako West,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Igueben,Igueben,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Ikpoba-Okha,Ikpoba-Okha,1994,2022,1,,1,2,1,2,1,,1,,1,2,1,2,,,"""2017.5"",""2018.5"",""2021.5"",""2022.5"""
EDO,Orhionmwon,Orhionmwon,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
EDO,Ovia North East,Ovia North East,1994,2022,1,2,1,2,1,2,1,,1,,1,2,1,2,,,"""2016.5"",""2017.5"",""2018.5"",""2021.5"",""2022.5"""
EDO,Ovia South West,Ovia South West,1993,2022,1,2,1,2,1,2,1,,1,,1,2,1,2,,,"""2016.5"",""2017.5"",""2018.5"",""2021.5"",""2022.5"""
EDO,Owan East,Owan East,1993,2022,1,2,1,2,1,2,1,,1,,1,2,1,2,,,"""2016.5"",""2017.5"",""2018.5"",""2021.5"",""2022.5"""
EDO,Owan West,Owan West,1993,2022,1,2,1,2,1,2,1,,1,,1,2,1,2,,,"""2016.5"",""2017.5"",""2018.5"",""2021.5"",""2022.5"""
EDO,Uhunmwonde,Uhunmwonde,1994,2022,1,,1,2,1,2,1,,1,,1,,1,,,,"""2017.5"",""2018.5"""
ENUGU,Aninri,Aninri,1995,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
ENUGU,Awgu,Awgu,1995,2023,1,,1,2,1,2,1,,1,,,,1,,1,,"""2017.5"",""2018.5"""
ENUGU,Enugu East,Enugu East,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ENUGU,Enugu North,Enugu North,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ENUGU,Enugu South,Enugu South,1995,2023,1,,1,2,1,2,1,,1,,,,1,,1,,"""2017.5"",""2018.5"""
ENUGU,Ezeagu,Ezeagu,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ENUGU,Igbo-Etiti,Igbo Ekiti,1995,2023,1,,1,2,1,2,1,,1,,,,1,,1,,"""2017.5"",""2018.5"""
ENUGU,Igbo-Eze-North,Igbo-Eze North,1995,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
ENUGU,Igbo-Eze-South,Igbo-Eze South,1995,2023,1,,1,2,1,2,1,,,,1,,1,,1,,"""2017.5"",""2018.5"""
ENUGU,Isi-Uzo,Isi-Uzo,1995,2023,1,,1,2,1,2,1,,1,,,,1,,1,,"""2017.5"",""2018.5"""
ENUGU,Nkanu East,Nkanu East,1995,2023,1,,1,2,1,2,1,,1,,,,1,,1,,"""2017.5"",""2018.5"""
ENUGU,Nkanu West,Nkanu West,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ENUGU,Nsukka,Nsuka,1995,2023,1,,1,2,1,2,1,,,,1,,1,,1,,"""2017.5"",""2018.5"""
ENUGU,Oji-River,Orji-River,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ENUGU,Udenu,Udenu,1995,2023,1,,1,2,1,2,1,,,,1,,1,,1,,"""2017.5"",""2018.5"""
ENUGU,Udi,Udi,1995,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
ENUGU,Uzo-Uwani,Uzo-Uwani,1995,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Aboh-Mbaise,Abo-Mbaise,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Ahiazu-Mbaise,Ahiazu-Mbaise,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Ehime-Mbano,Ehime-Mbano,1994,2022,1,,1,2,1,2,1,,,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Ezinihitte,Ezinihitte,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Ideato North,Ideato North,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Ideato South,Ideato South,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
IMO,Ihitte/Uboma,Ihite/Uboma,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
IMO,Ikeduru,Ikeduru,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Isiala Mbano,Isiala-Mbano,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Isu,Isu,1994,2022,1,,1,,1,,1,,,,1,,1,,,,NA
IMO,Mbatoli,Mbaitoli,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Ngor-Okpala,Ngor-Okp,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
IMO,Njaba,Njaba,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Nkwerre,Nkwere,1994,2022,1,,1,,1,,1,,,,,,1,,,,NA
IMO,Nwangele,Nwangele,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Obowo,Obowo,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Okigwe,Okigwe,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
IMO,Onuimo,Onuimo,1994,2022,1,,1,2,1,2,1,,,,1,,1,,,,"""2017.5"",""2018.5"""
IMO,Orlu,Orlu,1994,2022,1,,1,,1,,1,,1,,,,1,,,,NA
IMO,Orsu,Orsu,1994,2022,1,,1,2,1,2,1,,,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Owerri North,Owerri North,1994,2022,1,,1,2,1,2,1,,1,,,,1,,,,"""2017.5"",""2018.5"""
IMO,Owerri West,Owerri West,1994,2022,1,,1,,1,,1,,,,1,,1,,,,NA
NASARAWA,Akwanga,Akwanga,1992,2017,1,,1,,,,,,,,,,,,,,NA
NASARAWA,Karu,Karu,1993,2017,1,,1,,,,,,,,,,,,,,NA
NASARAWA,Kokona,Kokona,1993,2017,1,,1,,,,,,,,,,,,,,NA
NASARAWA,Lafia,Lafia,1993,2017,1,,1,,,,,,,,,,,,,,NA
NASARAWA,Nasarawa Eggon,Nasarawa-Eggon,1992,2017,1,,1,,,,,,,,,,,,,,NA
NASARAWA,Toto,Toto,1992,2017,1,,1,,,,,,,,,,,,,,NA
NASARAWA,Wamba,Wamba,1994,2017,1,,1,,,,,,,,,,,,,,NA
PLATEAU,Bassa,Bassa,1992,2017,1,,1,,,,,,,,,,,,,,NA
PLATEAU,Bokkos,Bokkos,1993,2017,1,,1,,,,,,,,,,,,,,NA
PLATEAU,Jos East,Jos East,1992,2017,1,,1,,,,,,,,,,,,,,NA
PLATEAU,Kanke,Kanke,1993,2017,1,,1,,,,,,,,,,,,,,NA
PLATEAU,Pankshin,Pankshin,1993,2017,1,,1,,,,,,,,,,,,,,NA
